MoveNumber,Side,Move,FEN,GameNumber
1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,1
2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR,1
3,white,c4,rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR,1
4,black,c6,rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR,1
5,white,e3,rnbqkbnrpp2pppp2p53p42PP44P3PP3PPPRNBQKBNR,1
6,black,Bf5,rn1qkbnrpp2pppp2p53p1b22PP44P3PP3PPPRNBQKBNR,1
7,white,Nc3,rn1qkbnrpp2pppp2p53p1b22PP42N1P3PP3PPPR1BQKBNR,1
8,black,e6,rn1qkbnrpp3ppp2p1p33p1b22PP42N1P3PP3PPPR1BQKBNR,1
9,white,Nf3,rn1qkbnrpp3ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R,1
10,black,Nd7,r2qkbnrpp1n1ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R,1
11,white,a3,r2qkbnrpp1n1ppp2p1p33p1b22PP4P1N1PN21P3PPPR1BQKB1R,1
12,black,Bd6,r2qk1nrpp1n1ppp2pbp33p1b22PP4P1N1PN21P3PPPR1BQKB1R,1
13,white,c5,r2qk1nrpp1n1ppp2pbp32Pp1b23P4P1N1PN21P3PPPR1BQKB1R,1
14,black,Bc7,r2qk1nrppbn1ppp2p1p32Pp1b23P4P1N1PN21P3PPPR1BQKB1R,1
15,white,b4,r2qk1nrppbn1ppp2p1p32Pp1b21P1P4P1N1PN25PPPR1BQKB1R,1
16,black,e5,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN25PPPR1BQKB1R,1
17,white,Be2,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN24BPPPR1BQK2R,1
18,black,Ngf6,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN24BPPPR1BQK2R,1
19,white,Bb2,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN21B2BPPPR2QK2R,1
20,black,e4,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1PN21B2BPPPR2QK2R,1
21,white,Nd2,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1P31B1NBPPPR2QK2R,1
22,black,h5,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P31B1NBPPPR2QK2R,1
23,white,h3,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R,1
24,black,Nf8,r2qkn1rppb2pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R,1
25,white,a4,r2qkn1rppb2pp12p2n22Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R,1
26,black,Ng6,r2qk2rppb2pp12p2nn12Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R,1
27,white,b5,r2qk2rppb2pp12p2nn11PPp1b1pP2Pp32N1P2P1B1NBPP1R2QK2R,1
28,black,Nh4,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P2P1B1NBPP1R2QK2R,1
29,white,g3,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P1PP1B1NBP2R2QK2R,1
30,black,Ng2+,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2QK2R,1
31,white,Kf1,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2Q1K1R,1
32,black,Nxe3+,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1n1PP1B1NBP2R2Q1K1R,1
33,white,fxe3,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NB3R2Q1K1R,1
34,black,Bxg3,r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB3R2Q1K1R,1
35,white,Kg2,r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB1K1R2Q3R,1
36,black,Bc7,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R2Q3R,1
37,white,Qg1,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR,1
38,black,Rh6,r2qk3ppb2pp12p2n1r1PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR,1
39,white,Kf1,r2qk3ppb2pp12p2n1r1PPp1b1pP2Pp32N1P2P1B1NB3R4KQR,1
40,black,Rg6,r2qk3ppb2pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NB3R4KQR,1
41,white,Qf2,r2qk3ppb2pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NBQ2R4K1R,1
42,black,Qd7,r3k3ppbq1pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NBQ2R4K1R,1
43,white,bxc6,r3k3ppbq1pp12P2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4K1R,1
44,black,bxc6,r3k3p1bq1pp12p2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4K1R,1
45,white,Rg1,r3k3p1bq1pp12p2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4KR1,1
46,black,Bxh3+,r3k3p1bq1pp12p2nr12Pp3pP2Pp32N1P2b1B1NBQ2R4KR1,1
47,white,Ke1,r3k3p1bq1pp12p2nr12Pp3pP2Pp32N1P2b1B1NBQ2R3K1R1,1
48,black,Ng4,r3k3p1bq1pp12p3r12Pp3pP2Pp1n12N1P2b1B1NBQ2R3K1R1,1
49,white,Bxg4,r3k3p1bq1pp12p3r12Pp3pP2Pp1B12N1P2b1B1N1Q2R3K1R1,1
50,black,Bxg4,r3k3p1bq1pp12p3r12Pp3pP2Pp1b12N1P31B1N1Q2R3K1R1,1
51,white,Ne2,r3k3p1bq1pp12p3r12Pp3pP2Pp1b14P31B1NNQ2R3K1R1,1
52,black,Qe7,r3k3p1b1qpp12p3r12Pp3pP2Pp1b14P31B1NNQ2R3K1R1,1
53,white,Nf4,r3k3p1b1qpp12p3r12Pp3pP2PpNb14P31B1N1Q2R3K1R1,1
54,black,Rh6,r3k3p1b1qpp12p4r2Pp3pP2PpNb14P31B1N1Q2R3K1R1,1
55,white,Bc3,r3k3p1b1qpp12p4r2Pp3pP2PpNb12B1P33N1Q2R3K1R1,1
56,black,g5,r3k3p1b1qp22p4r2Pp2ppP2PpNb12B1P33N1Q2R3K1R1,1
57,white,Ne2,r3k3p1b1qp22p4r2Pp2ppP2Pp1b12B1P33NNQ2R3K1R1,1
58,black,Rf6,r3k3p1b1qp22p2r22Pp2ppP2Pp1b12B1P33NNQ2R3K1R1,1
59,white,Qg2,r3k3p1b1qp22p2r22Pp2ppP2Pp1b12B1P33NN1Q1R3K1R1,1
60,black,Rf3,r3k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr23NN1Q1R3K1R1,1
61,white,Nf1,r3k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr24N1Q1R3KNR1,1
62,black,Rb8,1r2k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr24N1Q1R3KNR1,1
63,white,Kd2,1r2k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr23KN1Q1R4NR1,1
64,black,f5,1r2k3p1b1q32p52Pp1pppP2Pp1b12B1Pr23KN1Q1R4NR1,1
65,white,a5,1r2k3p1b1q32p5P1Pp1ppp3Pp1b12B1Pr23KN1Q1R4NR1,1
66,black,f4,1r2k3p1b1q32p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4NR1,1
67,white,Rh1,1r2k3p1b1q32p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4N1R,1
68,black,Qf7,1r2k3p1b2q22p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4N1R,1
69,white,Re1,1r2k3p1b2q22p5P1Pp2pp3Pppb12B1Pr23KN1Q14RN1R,1
70,black,fxe3+,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1pr23KN1Q14RN1R,1
71,white,Nxe3,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1Nr23KN1Q14R2R,1
72,black,Rf2,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1N33KNrQ14R2R,1
73,white,Qxf2,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1N33KNQ24R2R,1
74,black,Qxf2,1r2k3p1b52p5P1Pp2pp3Pp1b12B1N33KNq24R2R,1
75,white,Nxg4,1r2k3p1b52p5P1Pp2pp3Pp1N12B53KNq24R2R,1
76,black,Bf4+,1r2k3p72p5P1Pp2pp3PpbN12B53KNq24R2R,1
77,white,Kc2,1r2k3p72p5P1Pp2pp3PpbN12B52K1Nq24R2R,1
78,black,hxg4,1r2k3p72p5P1Pp2p13Ppbp12B52K1Nq24R2R,1
79,white,Bd2,1r2k3p72p5P1Pp2p13Ppbp182KBNq24R2R,1
80,black,e3,1r2k3p72p5P1Pp2p13P1bp14p32KBNq24R2R,1
81,white,Bc1,1r2k3p72p5P1Pp2p13P1bp14p32K1Nq22B1R2R,1
82,black,Qg2,1r2k3p72p5P1Pp2p13P1bp14p32K1N1q12B1R2R,1
83,white,Kc3,1r2k3p72p5P1Pp2p13P1bp12K1p34N1q12B1R2R,1
84,black,Kd7,1r6p2k42p5P1Pp2p13P1bp12K1p34N1q12B1R2R,1
85,white,Rh7+,1r6p2k3R2p5P1Pp2p13P1bp12K1p34N1q12B1R3,1
86,black,Ke6,1r6p6R2p1k3P1Pp2p13P1bp12K1p34N1q12B1R3,1
87,white,Rh6+,1r6p72p1k2RP1Pp2p13P1bp12K1p34N1q12B1R3,1
88,black,Kf5,1r6p72p4RP1Pp1kp13P1bp12K1p34N1q12B1R3,1
89,white,Bxe3,1r6p72p4RP1Pp1kp13P1bp12K1B34N1q14R3,1
90,black,Bxe3,1r6p72p4RP1Pp1kp13P2p12K1b34N1q14R3,1
91,white,Rf1+,1r6p72p4RP1Pp1kp13P2p12K1b34N1q15R2,1
92,black,Bf4,1r6p72p4RP1Pp1kp13P1bp12K54N1q15R2,1
1,white,e4,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,2
2,black,e5,rnbqkbnrpppp1ppp84p34P38PPPP1PPPRNBQKBNR,2
3,white,Nf3,rnbqkbnrpppp1ppp84p34P35N2PPPP1PPPRNBQKB1R,2
4,black,Nc6,r1bqkbnrpppp1ppp2n54p34P35N2PPPP1PPPRNBQKB1R,2
5,white,d4,r1bqkbnrpppp1ppp2n54p33PP35N2PPP2PPPRNBQKB1R,2
6,black,exd4,r1bqkbnrpppp1ppp2n583pP35N2PPP2PPPRNBQKB1R,2
7,white,Nxd4,r1bqkbnrpppp1ppp2n583NP38PPP2PPPRNBQKB1R,2
8,black,Nf6,r1bqkb1rpppp1ppp2n2n283NP38PPP2PPPRNBQKB1R,2
9,white,Nc3,r1bqkb1rpppp1ppp2n2n283NP32N5PPP2PPPR1BQKB1R,2
10,black,Bb4,r1bqk2rpppp1ppp2n2n281b1NP32N5PPP2PPPR1BQKB1R,2
11,white,Nxc6,r1bqk2rpppp1ppp2N2n281b2P32N5PPP2PPPR1BQKB1R,2
12,black,bxc6,r1bqk2rp1pp1ppp2p2n281b2P32N5PPP2PPPR1BQKB1R,2
13,white,Bd3,r1bqk2rp1pp1ppp2p2n281b2P32NB4PPP2PPPR1BQK2R,2
14,black,d5,r1bqk2rp1p2ppp2p2n23p41b2P32NB4PPP2PPPR1BQK2R,2
15,white,exd5,r1bqk2rp1p2ppp2p2n23P41b62NB4PPP2PPPR1BQK2R,2
16,black,cxd5,r1bqk2rp1p2ppp5n23p41b62NB4PPP2PPPR1BQK2R,2
17,white,O-O,r1bqk2rp1p2ppp5n23p41b62NB4PPP2PPPR1BQ1RK1,2
18,black,O-O,r1bq1rk1p1p2ppp5n23p41b62NB4PPP2PPPR1BQ1RK1,2
19,white,Bg5,r1bq1rk1p1p2ppp5n23p2B11b62NB4PPP2PPPR2Q1RK1,2
20,black,c6,r1bq1rk1p4ppp2p2n23p2B11b62NB4PPP2PPPR2Q1RK1,2
21,white,Ne2,r1bq1rk1p4ppp2p2n23p2B11b63B4PPP1NPPPR2Q1RK1,2
22,black,Bd6,r1bq1rk1p4ppp2pb1n23p2B183B4PPP1NPPPR2Q1RK1,2
23,white,Ng3,r1bq1rk1p4ppp2pb1n23p2B183B2N1PPP2PPPR2Q1RK1,2
24,black,h6,r1bq1rk1p4pp12pb1n1p3p2B183B2N1PPP2PPPR2Q1RK1,2
25,white,Bd2,r1bq1rk1p4pp12pb1n1p3p483B2N1PPPB1PPPR2Q1RK1,2
26,black,Ng4,r1bq1rk1p4pp12pb3p3p46n13B2N1PPPB1PPPR2Q1RK1,2
27,white,Be2,r1bq1rk1p4pp12pb3p3p46n16N1PPPBBPPPR2Q1RK1,2
28,black,Qh4,r1b2rk1p4pp12pb3p3p46nq6N1PPPBBPPPR2Q1RK1,2
29,white,Bxg4,r1b2rk1p4pp12pb3p3p46Bq6N1PPPB1PPPR2Q1RK1,2
30,black,Bxg4,r4rk1p4pp12pb3p3p46bq6N1PPPB1PPPR2Q1RK1,2
31,white,Qc1,r4rk1p4pp12pb3p3p46bq6N1PPPB1PPPR1Q2RK1,2
32,black,Be2,r4rk1p4pp12pb3p3p47q6N1PPPBbPPPR1Q2RK1,2
33,white,Re1,r4rk1p4pp12pb3p3p47q6N1PPPBbPPPR1Q1R1K1,2
34,black,Ba6,r4rk1p4pp1b1pb3p3p47q6N1PPPB1PPPR1Q1R1K1,2
35,white,Bc3,r4rk1p4pp1b1pb3p3p47q2B3N1PPP2PPPR1Q1R1K1,2
36,black,f5,r4rk1p5p1b1pb3p3p1p27q2B3N1PPP2PPPR1Q1R1K1,2
37,white,Re6,r4rk1p5p1b1pbR2p3p1p27q2B3N1PPP2PPPR1Q3K1,2
38,black,Rad8,3r1rk1p5p1b1pbR2p3p1p27q2B3N1PPP2PPPR1Q3K1,2
39,white,Qd2,3r1rk1p5p1b1pbR2p3p1p27q2B3N1PPPQ1PPPR5K1,2
40,black,d4,3r1rk1p5p1b1pbR2p5p23p3q2B3N1PPPQ1PPPR5K1,2
41,white,Ba5,3r1rk1p5p1b1pbR2pB4p23p3q6N1PPPQ1PPPR5K1,2
42,black,Rd7,5rk1p2r2p1b1pbR2pB4p23p3q6N1PPPQ1PPPR5K1,2
43,white,Rxd6,5rk1p2r2p1b1pR3pB4p23p3q6N1PPPQ1PPPR5K1,2
44,black,Rxd6,5rk1p5p1b1pr3pB4p23p3q6N1PPPQ1PPPR5K1,2
45,white,Bb4,5rk1p5p1b1pr3p5p21B1p3q6N1PPPQ1PPPR5K1,2
46,black,Qf6,5rk1p5p1b1pr1q1p5p21B1p46N1PPPQ1PPPR5K1,2
47,white,Rd1,5rk1p5p1b1pr1q1p5p21B1p46N1PPPQ1PPP3R2K1,2
48,black,Rd5,5rk1p5p1b1p2q1p3r1p21B1p46N1PPPQ1PPP3R2K1,2
49,white,Bxf8,5Bk1p5p1b1p2q1p3r1p23p46N1PPPQ1PPP3R2K1,2
50,black,Qxf8,5qk1p5p1b1p4p3r1p23p46N1PPPQ1PPP3R2K1,2
51,white,Nh5,5qk1p5p1b1p4p3r1p1N3p48PPPQ1PPP3R2K1,2
52,black,Qe8,4q1k1p5p1b1p4p3r1p1N3p48PPPQ1PPP3R2K1,2
53,white,Nf4,4q1k1p5p1b1p4p3r1p23p1N28PPPQ1PPP3R2K1,2
54,black,Re5,4q1k1p5p1b1p4p4rp23p1N28PPPQ1PPP3R2K1,2
55,white,h4,4q1k1p5p1b1p4p4rp23p1N1P8PPPQ1PP13R2K1,2
56,black,c5,4q1k1p5p1b6p2p1rp23p1N1P8PPPQ1PP13R2K1,2
57,white,h5,4q1k1p5p1b6p2p1rp1P3p1N28PPPQ1PP13R2K1,2
58,black,Re4,4q1k1p5p1b6p2p2p1P3prN28PPPQ1PP13R2K1,2
59,white,c3,4q1k1p5p1b6p2p2p1P3prN22P5PP1Q1PP13R2K1,2
60,black,Qb8,1q4k1p5p1b6p2p2p1P3prN22P5PP1Q1PP13R2K1,2
61,white,g3,1q4k1p5p1b6p2p2p1P3prN22P3P1PP1Q1P23R2K1,2
62,black,Qe5,6k1p5p1b6p2p1qp1P3prN22P3P1PP1Q1P23R2K1,2
63,white,Ng6,6k1p5p1b5Np2p1qp1P3pr32P3P1PP1Q1P23R2K1,2
64,black,Qd6,6k1p5p1b2q2Np2p2p1P3pr32P3P1PP1Q1P23R2K1,2
65,white,Nf4,6k1p5p1b2q3p2p2p1P3prN22P3P1PP1Q1P23R2K1,2
66,black,d3,6k1p5p1b2q3p2p2p1P4rN22Pp2P1PP1Q1P23R2K1,2
67,white,b3,6k1p5p1b2q3p2p2p1P4rN21PPp2P1P2Q1P23R2K1,2
68,black,c4,6k1p5p1b2q3p5p1P2p1rN21PPp2P1P2Q1P23R2K1,2
69,white,Rb1,6k1p5p1b2q3p5p1P2p1rN21PPp2P1P2Q1P21R4K1,2
70,black,Kh7,8p5pkb2q3p5p1P2p1rN21PPp2P1P2Q1P21R4K1,2
71,white,Kh2,8p5pkb2q3p5p1P2p1rN21PPp2P1P2Q1P1K1R6,2
72,black,Qb6,8p5pkbq5p5p1P2p1rN21PPp2P1P2Q1P1K1R6,2
73,white,Kg1,8p5pkbq5p5p1P2p1rN21PPp2P1P2Q1P21R4K1,2
74,black,Bb7,8pb4pk1q5p5p1P2p1rN21PPp2P1P2Q1P21R4K1,2
75,white,Rb2,8pb4pk1q5p5p1P2p1rN21PPp2P1PR1Q1P26K1,2
76,black,Qc6,8pb4pk2q4p5p1P2p1rN21PPp2P1PR1Q1P26K1,2
77,white,f3,8pb4pk2q4p5p1P2p1rN21PPp1PP1PR1Q46K1,2
78,black,Qc5+,8pb4pk7p2q2p1P2p1rN21PPp1PP1PR1Q46K1,2
79,white,Qf2,8pb4pk7p2q2p1P2p1rN21PPp1PP1PR3Q26K1,2
80,black,Re1+,8pb4pk7p2q2p1P2p2N21PPp1PP1PR3Q24r1K1,2
81,white,Kh2,8pb4pk7p2q2p1P2p2N21PPp1PP1PR3Q1K4r3,2
82,black,Qxf2+,8pb4pk7p5p1P2p2N21PPp1PP1PR3q1K4r3,2
83,white,Rxf2,8pb4pk7p5p1P2p2N21PPp1PP1P4R1K4r3,2
84,black,Bxf3,8p5pk7p5p1P2p2N21PPp1bP1P4R1K4r3,2
85,white,g4,8p5pk7p5p1P2p2NP11PPp1b2P4R1K4r3,2
86,black,Be2,8p5pk7p5p1P2p2NP11PPp4P3bR1K4r3,2
87,white,Ng2,8p5pk7p5p1P2p3P11PPp4P3bRNK4r3,2
88,black,d2,8p5pk7p5p1P2p3P11PP5P2pbRNK4r3,2
89,white,Ne3,8p5pk7p5p1P2p3P11PP1N3P2pbR1K4r3,2
90,black,cxb3,8p5pk7p5p1P6P11pP1N3P2pbR1K4r3,2
91,white,axb3,8p5pk7p5p1P6P11PP1N33pbR1K4r3,2
92,black,Bxg4,8p5pk7p5p1P6b11PP1N33p1R1K4r3,2
1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,3
2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR,3
3,white,c4,rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR,3
4,black,c6,rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR,3
5,white,e3,rnbqkbnrpp2pppp2p53p42PP44P3PP3PPPRNBQKBNR,3
6,black,Bf5,rn1qkbnrpp2pppp2p53p1b22PP44P3PP3PPPRNBQKBNR,3
7,white,a3,rn1qkbnrpp2pppp2p53p1b22PP4P3P31P3PPPRNBQKBNR,3
8,black,e6,rn1qkbnrpp3ppp2p1p33p1b22PP4P3P31P3PPPRNBQKBNR,3
9,white,c5,rn1qkbnrpp3ppp2p1p32Pp1b23P4P3P31P3PPPRNBQKBNR,3
10,black,a5,rn1qkbnr1p3ppp2p1p3p1Pp1b23P4P3P31P3PPPRNBQKBNR,3
11,white,Qb3,rn1qkbnr1p3ppp2p1p3p1Pp1b23P4PQ2P31P3PPPRNB1KBNR,3
12,black,Qc7,rn2kbnr1pq2ppp2p1p3p1Pp1b23P4PQ2P31P3PPPRNB1KBNR,3
13,white,Nc3,rn2kbnr1pq2ppp2p1p3p1Pp1b23P4PQN1P31P3PPPR1B1KBNR,3
14,black,Nd7,r3kbnr1pqn1ppp2p1p3p1Pp1b23P4PQN1P31P3PPPR1B1KBNR,3
15,white,Na4,r3kbnr1pqn1ppp2p1p3p1Pp1b2N2P4PQ2P31P3PPPR1B1KBNR,3
16,black,Ngf6,r3kb1r1pqn1ppp2p1pn2p1Pp1b2N2P4PQ2P31P3PPPR1B1KBNR,3
17,white,Ne2,r3kb1r1pqn1ppp2p1pn2p1Pp1b2N2P4PQ2P31P2NPPPR1B1KB1R,3
18,black,Be7,r3k2r1pqnbppp2p1pn2p1Pp1b2N2P4PQ2P31P2NPPPR1B1KB1R,3
19,white,Ng3,r3k2r1pqnbppp2p1pn2p1Pp1b2N2P4PQ2P1N11P3PPPR1B1KB1R,3
20,black,Bg6,r3k2r1pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P3PPPR1B1KB1R,3
21,white,Bd2,r3k2r1pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1B1PPPR3KB1R,3
22,black,O-O,r4rk11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1B1PPPR3KB1R,3
23,white,Be2,r4rk11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR3K2R,3
24,black,Rfb8,rr4k11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR3K2R,3
25,white,O-O,rr4k11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR4RK1,3
26,black,b6,rr4k12qnbppp1pp1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR4RK1,3
27,white,cxb6,rr4k12qnbppp1Pp1pnb1p2p4N2P4PQ2P1N11P1BBPPPR4RK1,3
28,black,Nxb6,rr4k12q1bppp1np1pnb1p2p4N2P4PQ2P1N11P1BBPPPR4RK1,3
29,white,Nxb6,rr4k12q1bppp1Np1pnb1p2p43P4PQ2P1N11P1BBPPPR4RK1,3
30,black,Rxb6,r5k12q1bppp1rp1pnb1p2p43P4PQ2P1N11P1BBPPPR4RK1,3
31,white,Qc3,r5k12q1bppp1rp1pnb1p2p43P4P1Q1P1N11P1BBPPPR4RK1,3
32,black,Qb7,r5k11q2bppp1rp1pnb1p2p43P4P1Q1P1N11P1BBPPPR4RK1,3
33,white,Ra2,r5k11q2bppp1rp1pnb1p2p43P4P1Q1P1N1RP1BBPPP5RK1,3
34,black,Nd7,r5k11q1nbppp1rp1p1b1p2p43P4P1Q1P1N1RP1BBPPP5RK1,3
35,white,Bd1,r5k11q1nbppp1rp1p1b1p2p43P4P1Q1P1N1RP1B1PPP3B1RK1,3
36,black,c5,r5k11q1nbppp1r2p1b1p1pp43P4P1Q1P1N1RP1B1PPP3B1RK1,3
37,white,Ba4,r5k11q1nbppp1r2p1b1p1pp4B2P4P1Q1P1N1RP1B1PPP5RK1,3
38,black,c4,r5k11q1nbppp1r2p1b1p2p4B1pP4P1Q1P1N1RP1B1PPP5RK1,3
39,white,Qc1,r5k11q1nbppp1r2p1b1p2p4B1pP4P3P1N1RP1B1PPP2Q2RK1,3
40,black,Nf6,r5k11q2bppp1r2pnb1p2p4B1pP4P3P1N1RP1B1PPP2Q2RK1,3
41,white,Bc3,r5k11q2bppp1r2pnb1p2p4B1pP4P1B1P1N1RP3PPP2Q2RK1,3
42,black,Bd6,r5k11q3ppp1r1bpnb1p2p4B1pP4P1B1P1N1RP3PPP2Q2RK1,3
43,white,f3,r5k11q3ppp1r1bpnb1p2p4B1pP4P1B1PPN1RP4PP2Q2RK1,3
44,black,Qb8,rq4k15ppp1r1bpnb1p2p4B1pP4P1B1PPN1RP4PP2Q2RK1,3
45,white,f4,rq4k15ppp1r1bpnb1p2p4B1pP1P2P1B1P1N1RP4PP2Q2RK1,3
46,black,Bd3,rq4k15ppp1r1bpn2p2p4B1pP1P2P1BbP1N1RP4PP2Q2RK1,3
47,white,Re1,rq4k15ppp1r1bpn2p2p4B1pP1P2P1BbP1N1RP4PP2Q1R1K1,3
48,black,h5,rq4k15pp11r1bpn2p2p3pB1pP1P2P1BbP1N1RP4PP2Q1R1K1,3
49,white,h4,rq4k15pp11r1bpn2p2p3pB1pP1P1PP1BbP1N1RP4P12Q1R1K1,3
50,black,Qd8,r2q2k15pp11r1bpn2p2p3pB1pP1P1PP1BbP1N1RP4P12Q1R1K1,3
51,white,Bd1,r2q2k15pp11r1bpn2p2p3p2pP1P1PP1BbP1N1RP4P12QBR1K1,3
52,black,g6,r2q2k15p21r1bpnp1p2p3p2pP1P1PP1BbP1N1RP4P12QBR1K1,3
53,white,Qd2,r2q2k15p21r1bpnp1p2p3p2pP1P1PP1BbP1N1RP1Q2P13BR1K1,3
54,black,Rbb8,rr1q2k15p23bpnp1p2p3p2pP1P1PP1BbP1N1RP1Q2P13BR1K1,3
55,white,Qf2,rr1q2k15p23bpnp1p2p3p2pP1P1PP1BbP1N1RP3QP13BR1K1,3
56,black,Be7,rr1q2k14bp24pnp1p2p3p2pP1P1PP1BbP1N1RP3QP13BR1K1,3
57,white,Bf3,rr1q2k14bp24pnp1p2p3p2pP1P1PP1BbPBN1RP3QP14R1K1,3
58,black,Ne4,rr1q2k14bp24p1p1p2p3p2pPnP1PP1BbPBN1RP3QP14R1K1,3
59,white,Bxe4,rr1q2k14bp24p1p1p2p3p2pPBP1PP1BbP1N1RP3QP14R1K1,3
60,black,dxe4,rr1q2k14bp24p1p1p6p2pPpP1PP1BbP1N1RP3QP14R1K1,3
61,white,Nh1,rr1q2k14bp24p1p1p6p2pPpP1PP1BbP3RP3QP14R1KN,3
62,black,Bxh4,rr1q2k15p24p1p1p6p2pPpP1bP1BbP3RP3QP14R1KN,3
63,white,g3,rr1q2k15p24p1p1p6p2pPpP1bP1BbP1P1RP3Q24R1KN,3
64,black,Be7,rr1q2k14bp24p1p1p6p2pPpP2P1BbP1P1RP3Q24R1KN,3
65,white,Qd2,rr1q2k14bp24p1p1p6p2pPpP2P1BbP1P1RP1Q44R1KN,3
66,black,Qd5,rr4k14bp24p1p1p2q3p2pPpP2P1BbP1P1RP1Q44R1KN,3
67,white,Nf2,rr4k14bp24p1p1p2q3p2pPpP2P1BbP1P1RP1Q1N24R1K1,3
68,black,a4,rr4k14bp24p1p13q3pp1pPpP2P1BbP1P1RP1Q1N24R1K1,3
69,white,Kg2,rr4k14bp24p1p13q3pp1pPpP2P1BbP1P1RP1Q1NK14R3,3
70,black,Rb3,r5k14bp24p1p13q3pp1pPpP2PrBbP1P1RP1Q1NK14R3,3
71,white,Rh1,r5k14bp24p1p13q3pp1pPpP2PrBbP1P1RP1Q1NK17R,3
72,black,Kg7,r74bpk14p1p13q3pp1pPpP2PrBbP1P1RP1Q1NK17R,3
73,white,Raa1,r74bpk14p1p13q3pp1pPpP2PrBbP1P11P1Q1NK1R6R,3
74,black,Bd8,r2b45pk14p1p13q3pp1pPpP2PrBbP1P11P1Q1NK1R6R,3
75,white,g4,r2b45pk14p1p13q3pp1pPpPP1PrBbP31P1Q1NK1R6R,3
76,black,hxg4,r2b45pk14p1p13q4p1pPpPp1PrBbP31P1Q1NK1R6R,3
77,white,Nxg4,r2b45pk14p1p13q4p1pPpPN1PrBbP31P1Q2K1R6R,3
78,black,Ba5,r75pk14p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R6R,3
79,white,Rh7+,r75pkR4p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R7,3
